id,name,prefecture,city,rakutenKeyword,jalanCode,destinations
"abashiri","網走","北海道","網走市","北海道 網走市","","""網走"""
"ainan","愛南","愛媛県","愛媛愛南","愛媛県 愛媛愛南","","""愛南"""
"aizu","会津若松","福島県","","福島県 福島会津若松","070020","""会津若松"""
"akan","阿寒湖","北海道","釧路市","北海道 釧路市","","""阿寒湖"""
"akita","秋田","秋田県","","秋田県 秋田市","050020","""秋田"""
"ako","赤穂","兵庫県","赤穂市","兵庫県 赤穂市","","""赤穂"""
"amakusa","天草","熊本県","","熊本県 天草市","430040","""天草"""
"amami","奄美大島","鹿児島県","","鹿児島県 奄美市","460020","""奄美大島"""
"amanohashidate","天橋立","京都府","","京都府 宮津市","260030","""天橋立"""
"arima-onsen","有馬温泉","兵庫県","","兵庫県 神戸市","280010","""有馬温泉"""
"asahikawa","旭川","北海道","","北海道 旭川市","010060","""旭川"""
"ashikaga","足利","栃木県","足利市","栃木県 足利市","","""足利"""
"ashizuri","足摺岬","高知県","","高知県 土佐清水市","390020","""足摺岬"""
"aso","阿蘇","熊本県","","熊本県 阿蘇市","430020","""阿蘇"""
"asuka","飛鳥","奈良県","明日香村","奈良県 明日香村","","""飛鳥"""
"atami","熱海","静岡県","","静岡県 熱海市","220010","""熱海"""
"awaji","淡路島","兵庫県","","兵庫県 兵庫淡路島","280070","""淡路島"""
"beppu","別府","大分県","","大分県 別府市","440030","""別府"""
"bessho-onsen","別所温泉","長野県","上田市","長野県 上田市","","""別所温泉"""
"biei","美瑛","北海道","","北海道 美瑛町","010370","""美瑛"""
"bungo-takada","豊後高田","大分県","豊後高田市","大分県 豊後高田市","","""豊後高田"""
"chichibu","秩父","埼玉県","秩父市","埼玉県 秩父市","","""秩父"""
"choshi","銚子","千葉県","銚子市","千葉県 銚子市","","""銚子"""
"daisen","大山","鳥取県","大山町","鳥取県 大山町","","""大山"""
"dewa-sanzan","出羽三山","山形県","鶴岡市","山形県 鶴岡市","","""出羽三山"""
"dogo-onsen","道後温泉","愛媛県","松山市","愛媛県 松山市","","""道後温泉"""
"ebino-kogen","えびの高原","宮崎県","えびの市","宮崎県 えびの市","","""えびの高原"""
"echizen","越前市","福井県","越前市","福井県 越前市","","""越前市"""
"echizen-kaigan","越前海岸","福井県","越前市","福井県 越前市","","""越前海岸"""
"eiheiji","永平寺","福井県","永平寺町","福井県 永平寺町","","""永平寺"""
"enoshima","江の島","神奈川県","藤沢市","神奈川県 藤沢市","","""江の島"""
"esashi","江差","北海道","江差町","北海道 江差町","","""江差"""
